columbary_ID,cr_vault_number,cr_full_name,cr_permanent_residence,cr_mobile_number,cr_email_address,cr_date_of_issuance,cr_date_of_expiration,cr_issuing_party,first_beneficiary,second_beneficiary,third_beneficiary,fourth_beneficiary,pa_type_of_p,pa_amount,pa_ref_number
77-D-South,Vacant,,,,,,,,,,,,Vacant,0,
27-A-South,Vacant,,,,,,,,,,,,Vacant,0,
52-D-South,Vacant,,,,,,,,,,,,Vacant,0,
30-D-South,Vacant,,,,,,,,,,,,Vacant,0,
64-C-North,Vacant,,,,,,,,,,,,Vacant,0,
31-A-South,Vacant,,,,,,,,,,,,Vacant,0,
76-B-South,Vacant,,,,,,,,,,,,Vacant,0,
90-A-North,Vacant,,,,,,,,,,,,Vacant,0,
60-B-South,Vacant,,,,,,,,,,,,Vacant,0,
73-B-South,Vacant,,,,,,,,,,,,Vacant,0,
61-B-South,Vacant,,,,,,,,,,,,Vacant,0,
7-B-North,Vacant,,,,,,,,,,,,Vacant,0,
32-D-North,Vacant,,,,,,,,,,,,Vacant,0,
68-C-North,Vacant,,,,,,,,,,,,Vacant,0,
36-B-South,Vacant,,,,,,,,,,,,Vacant,0,
7-D-North,Vacant,,,,,,,,,,,,Vacant,0,
82-D-North,Vacant,,,,,,,,,,,,Vacant,0,
14-A-South,Vacant,,,,,,,,,,,,Vacant,0,
55-C-South,Vacant,,,,,,,,,,,,Vacant,0,
73-B-North,Vacant,,,,,,,,,,,,Vacant,0,
44-C-South,Vacant,,,,,,,,,,,,Vacant,0,
80-C-North,Vacant,,,,,,,,,,,,Vacant,0,
5-D-South,Vacant,,,,,,,,,,,,Vacant,0,
33-B-South,Vacant,,,,,,,,,,,,Vacant,0,
55-C-North,Vacant,,,,,,,,,,,,Vacant,0,
43-A-South,Vacant,,,,,,,,,,,,Vacant,0,
22-A-South,Vacant,,,,,,,,,,,,Vacant,0,
24-A-North,Vacant,,,,,,,,,,,,Vacant,0,
99-C-South,Vacant,,,,,,,,,,,,Vacant,0,
83-A-North,Vacant,,,,,,,,,,,,Vacant,0,
86-C-South,Vacant,,,,,,,,,,,,Vacant,0,
76-B-South,Vacant,,,,,,,,,,,,Vacant,0,
73-A-South,Vacant,,,,,,,,,,,,Vacant,0,
75-D-South,Vacant,,,,,,,,,,,,Vacant,0,
100-D-North,Vacant,,,,,,,,,,,,Vacant,0,
39-C-South,Vacant,,,,,,,,,,,,Vacant,0,
4-D-South,Vacant,,,,,,,,,,,,Vacant,0,
78-C-South,Vacant,,,,,,,,,,,,Vacant,0,
7-B-South,Vacant,,,,,,,,,,,,Vacant,0,
39-C-North,Vacant,,,,,,,,,,,,Vacant,0,
66-C-South,Vacant,,,,,,,,,,,,Vacant,0,
66-A-South,Vacant,,,,,,,,,,,,Vacant,0,
31-D-South,Vacant,,,,,,,,,,,,Vacant,0,
79-D-North,Vacant,,,,,,,,,,,,Vacant,0,
71-B-South,Vacant,,,,,,,,,,,,Vacant,0,
13-A-North,Vacant,,,,,,,,,,,,Vacant,0,
11-B-South,Vacant,,,,,,,,,,,,Vacant,0,
92-C-South,Vacant,,,,,,,,,,,,Vacant,0,
78-B-South,Vacant,,,,,,,,,,,,Vacant,0,
66-C-South,Vacant,,,,,,,,,,,,Vacant,0,
73-C-North,Vacant,,,,,,,,,,,,Vacant,0,
33-A-North,Vacant,,,,,,,,,,,,Vacant,0,
10-A-North,Vacant,,,,,,,,,,,,Vacant,0,
48-A-North,Vacant,,,,,,,,,,,,Vacant,0,
66-C-North,Vacant,,,,,,,,,,,,Vacant,0,
57-B-North,Vacant,,,,,,,,,,,,Vacant,0,
11-B-North,Vacant,,,,,,,,,,,,Vacant,0,
77-C-South,Vacant,,,,,,,,,,,,Vacant,0,
99-B-North,Vacant,,,,,,,,,,,,Vacant,0,
72-A-South,Vacant,,,,,,,,,,,,Vacant,0,
26-A-South,Vacant,,,,,,,,,,,,Vacant,0,
81-B-North,Vacant,,,,,,,,,,,,Vacant,0,
49-B-North,Vacant,,,,,,,,,,,,Vacant,0,
94-C-North,Vacant,,,,,,,,,,,,Vacant,0,
86-C-North,Vacant,,,,,,,,,,,,Vacant,0,
9-A-South,Vacant,,,,,,,,,,,,Vacant,0,
55-C-North,Vacant,,,,,,,,,,,,Vacant,0,
96-C-South,Vacant,,,,,,,,,,,,Vacant,0,
68-B-North,Vacant,,,,,,,,,,,,Vacant,0,
100-D-North,Vacant,,,,,,,,,,,,Vacant,0,
6-A-North,Vacant,,,,,,,,,,,,Vacant,0,
52-C-North,Vacant,,,,,,,,,,,,Vacant,0,
15-D-North,Vacant,,,,,,,,,,,,Vacant,0,
28-A-North,Vacant,,,,,,,,,,,,Vacant,0,
13-B-South,Vacant,,,,,,,,,,,,Vacant,0,
34-B-South,Vacant,,,,,,,,,,,,Vacant,0,
47-C-North,Vacant,,,,,,,,,,,,Vacant,0,
57-A-South,Vacant,,,,,,,,,,,,Vacant,0,
90-D-South,Vacant,,,,,,,,,,,,Vacant,0,
1-D-North,Vacant,,,,,,,,,,,,Vacant,0,
39-C-South,Vacant,,,,,,,,,,,,Vacant,0,
5-D-North,Vacant,,,,,,,,,,,,Vacant,0,
92-A-North,Vacant,,,,,,,,,,,,Vacant,0,
63-A-North,Vacant,,,,,,,,,,,,Vacant,0,
45-C-South,Vacant,,,,,,,,,,,,Vacant,0,
92-A-South,Vacant,,,,,,,,,,,,Vacant,0,
10-C-North,Vacant,,,,,,,,,,,,Vacant,0,
88-A-North,Vacant,,,,,,,,,,,,Vacant,0,
49-C-North,Vacant,,,,,,,,,,,,Vacant,0,
34-C-South,Vacant,,,,,,,,,,,,Vacant,0,
40-C-North,Vacant,,,,,,,,,,,,Vacant,0,
3-A-South,Vacant,,,,,,,,,,,,Vacant,0,
18-C-South,Vacant,,,,,,,,,,,,Vacant,0,
79-C-North,Vacant,,,,,,,,,,,,Vacant,0,
68-D-South,Vacant,,,,,,,,,,,,Vacant,0,
39-B-South,Vacant,,,,,,,,,,,,Vacant,0,
91-B-South,Vacant,,,,,,,,,,,,Vacant,0,
29-C-South,Vacant,,,,,,,,,,,,Vacant,0,
5-A-North,Vacant,,,,,,,,,,,,Vacant,0,
27-B-North,Vacant,,,,,,,,,,,,Vacant,0,
63-D-North,Vacant,,,,,,,,,,,,Vacant,0,
92-A-North,Vacant,,,,,,,,,,,,Vacant,0,
65-D-North,Vacant,,,,,,,,,,,,Vacant,0,
54-D-North,Vacant,,,,,,,,,,,,Vacant,0,
73-C-North,Vacant,,,,,,,,,,,,Vacant,0,
27-B-North,Vacant,,,,,,,,,,,,Vacant,0,
27-C-North,Vacant,,,,,,,,,,,,Vacant,0,
52-D-North,Vacant,,,,,,,,,,,,Vacant,0,
76-C-South,Vacant,,,,,,,,,,,,Vacant,0,
58-A-North,Vacant,,,,,,,,,,,,Vacant,0,
82-B-North,Vacant,,,,,,,,,,,,Vacant,0,
44-C-North,Vacant,,,,,,,,,,,,Vacant,0,
33-B-South,Vacant,,,,,,,,,,,,Vacant,0,
53-B-North,Vacant,,,,,,,,,,,,Vacant,0,
97-A-North,Vacant,,,,,,,,,,,,Vacant,0,
57-C-South,Vacant,,,,,,,,,,,,Vacant,0,
100-B-South,Vacant,,,,,,,,,,,,Vacant,0,
53-B-North,Vacant,,,,,,,,,,,,Vacant,0,
76-C-North,Vacant,,,,,,,,,,,,Vacant,0,
76-C-South,Vacant,,,,,,,,,,,,Vacant,0,
45-C-South,Vacant,,,,,,,,,,,,Vacant,0,
21-C-North,Vacant,,,,,,,,,,,,Vacant,0,
78-C-North,Vacant,,,,,,,,,,,,Vacant,0,
64-C-South,Vacant,,,,,,,,,,,,Vacant,0,
6-B-North,Vacant,,,,,,,,,,,,Vacant,0,
62-C-North,Vacant,,,,,,,,,,,,Vacant,0,
4-C-South,Vacant,,,,,,,,,,,,Vacant,0,
83-C-South,Vacant,,,,,,,,,,,,Vacant,0,
59-D-North,Vacant,,,,,,,,,,,,Vacant,0,
6-C-North,Vacant,,,,,,,,,,,,Vacant,0,
38-D-South,Vacant,,,,,,,,,,,,Vacant,0,
49-B-South,Vacant,,,,,,,,,,,,Vacant,0,
98-D-South,Vacant,,,,,,,,,,,,Vacant,0,
1-A-South,Vacant,,,,,,,,,,,,Vacant,0,
8-B-North,Vacant,,,,,,,,,,,,Vacant,0,
40-D-South,Vacant,,,,,,,,,,,,Vacant,0,
12-C-South,Vacant,,,,,,,,,,,,Vacant,0,
15-D-North,Vacant,,,,,,,,,,,,Vacant,0,
66-C-North,Vacant,,,,,,,,,,,,Vacant,0,
97-D-South,Vacant,,,,,,,,,,,,Vacant,0,
18-A-North,Vacant,,,,,,,,,,,,Vacant,0,
22-B-South,Vacant,,,,,,,,,,,,Vacant,0,
14-C-South,Vacant,,,,,,,,,,,,Vacant,0,
99-C-South,Vacant,,,,,,,,,,,,Vacant,0,
5-B-North,Vacant,,,,,,,,,,,,Vacant,0,
36-C-South,Vacant,,,,,,,,,,,,Vacant,0,
22-D-North,Vacant,,,,,,,,,,,,Vacant,0,
21-D-South,Vacant,,,,,,,,,,,,Vacant,0,
51-A-South,Vacant,,,,,,,,,,,,Vacant,0,
77-B-South,Vacant,,,,,,,,,,,,Vacant,0,
42-B-North,Vacant,,,,,,,,,,,,Vacant,0,
76-B-North,Vacant,,,,,,,,,,,,Vacant,0,
24-A-South,Vacant,,,,,,,,,,,,Vacant,0,
5-B-South,Vacant,,,,,,,,,,,,Vacant,0,
56-C-North,Vacant,,,,,,,,,,,,Vacant,0,
19-D-North,Vacant,,,,,,,,,,,,Vacant,0,
21-B-North,Vacant,,,,,,,,,,,,Vacant,0,
23-C-South,Vacant,,,,,,,,,,,,Vacant,0,
87-A-South,Vacant,,,,,,,,,,,,Vacant,0,
44-B-South,Vacant,,,,,,,,,,,,Vacant,0,
1-D-North,Vacant,,,,,,,,,,,,Vacant,0,
52-D-South,Vacant,,,,,,,,,,,,Vacant,0,
56-A-South,Vacant,,,,,,,,,,,,Vacant,0,
17-B-South,Vacant,,,,,,,,,,,,Vacant,0,
86-B-South,Vacant,,,,,,,,,,,,Vacant,0,
80-D-South,Vacant,,,,,,,,,,,,Vacant,0,
32-B-South,Vacant,,,,,,,,,,,,Vacant,0,
41-C-North,Vacant,,,,,,,,,,,,Vacant,0,
61-B-South,Vacant,,,,,,,,,,,,Vacant,0,
63-D-South,Vacant,,,,,,,,,,,,Vacant,0,
81-A-North,Vacant,,,,,,,,,,,,Vacant,0,
96-D-South,Vacant,,,,,,,,,,,,Vacant,0,
46-C-South,Vacant,,,,,,,,,,,,Vacant,0,
64-D-South,Vacant,,,,,,,,,,,,Vacant,0,
94-B-North,Vacant,,,,,,,,,,,,Vacant,0,
15-A-South,Vacant,,,,,,,,,,,,Vacant,0,
65-C-South,Vacant,,,,,,,,,,,,Vacant,0,
20-A-North,Vacant,,,,,,,,,,,,Vacant,0,
68-C-North,Vacant,,,,,,,,,,,,Vacant,0,
62-B-South,Vacant,,,,,,,,,,,,Vacant,0,
75-D-North,Vacant,,,,,,,,,,,,Vacant,0,
17-C-South,Vacant,,,,,,,,,,,,Vacant,0,
58-C-South,Vacant,,,,,,,,,,,,Vacant,0,
96-B-North,Vacant,,,,,,,,,,,,Vacant,0,
80-A-North,Vacant,,,,,,,,,,,,Vacant,0,
11-B-South,Vacant,,,,,,,,,,,,Vacant,0,
98-B-North,Vacant,,,,,,,,,,,,Vacant,0,
57-B-South,Vacant,,,,,,,,,,,,Vacant,0,
52-B-North,Vacant,,,,,,,,,,,,Vacant,0,
96-B-North,Vacant,,,,,,,,,,,,Vacant,0,
84-C-North,Vacant,,,,,,,,,,,,Vacant,0,
71-A-North,Vacant,,,,,,,,,,,,Vacant,0,
90-D-North,Vacant,,,,,,,,,,,,Vacant,0,
78-C-North,Vacant,,,,,,,,,,,,Vacant,0,
37-C-North,Vacant,,,,,,,,,,,,Vacant,0,
11-A-South,Vacant,,,,,,,,,,,,Vacant,0,
4-A-North,Vacant,,,,,,,,,,,,Vacant,0,
90-C-North,Vacant,,,,,,,,,,,,Vacant,0,
20-C-North,Vacant,,,,,,,,,,,,Vacant,0,
84-C-North,Vacant,,,,,,,,,,,,Vacant,0,
